Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Category,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Parallel Universe,Special?,Error Immune,Show Gold,Appears For Parts,Hide Reuseable,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Sacrificial Blade@2_weakened,Do [sword]<d6> damage|Can be scrapped 4 times,1,attack(d);,Scabbard+ (2/4),REQUIRE4,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@1,Do [sword]<d6> damage|Scraps to Plasma Gun,1,attack(d);,Plasma Gun,REQUIRE1,,WEAPON,GRAY,change_power,change_function,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@1_upgraded,Do [sword]<d6> damage|Can be scrapped 3 times,1,attack(d);,Scabbard+ (3/4),MAX3,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@1_downgraded,No effect|Scraps to Plasma Gun,1,attack(d);,Plasma Gun,,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@1_weakened,Do [sword]<d6> damage|Can be scrapped 3 times,1,attack(d);,Scabbard+ (3/4),REQUIRE3,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@0,You shouldn't be seeing this,1,inflictself(VANISH); sfx(~_vanish~); target.textparticle(~Go shout at ncrecc!~);,Less Fluff,,,WEAPON,GRAY,change_power,change_function,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@0_upgraded,Do [sword]<d6> damage|Can be scrapped twice,1,attack(d);,Scabbard+ (4/4),MAX2,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@0_downgraded,You shouldn't be seeing this|either,1,inflictself(VANISH); sfx(~_vanish~); target.textparticle(~Really[;] go shout at ncrecc!~);,Less Fluff,,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@0_weakened,Do [sword]<d6> damage|Can be scrapped twice,1,attack(d);,Scabbard+ (4/4),REQUIRE2,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@X,You definitely shouldn't be|seeing this,1,inflictself(VANISH); sfx(~_vanish~); target.textparticle(~Go shout at ncrecc!~);,Less Fluff,,,WEAPON,GRAY,change_power,change_function,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@X_upgraded,Do [sword]<d6> damage|Scraps to Plasma Gun,1,attack(d);,Plasma Gun,REQUIRE1,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@X_downgraded,You really[;] definitely|shouldn't be seeing this,1,inflictself(VANISH); sfx(~_vanish~); target.textparticle(~Really[;] go shout at ncrecc!~);,Less Fluff,,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Sacrificial Blade@X_weakened,No effect|Scraps to Plasma Gun,1,attack(d);,Plasma Gun,,,WEAPON,GRAY,,,,_damage,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Virtue Grip,Get sum twice. Overflow|only returns excess dice,1,var s = (actualdice[0].basevalue + actualdice[1].basevalue) % 6; if(s == 0) { s = 6; } givedice([s|s]);,Battle Wrench,NORMAL|NORMAL,,ITEM,GREEN,change_power,change_function,,none,0,YES,NO,NO,NO,NO,NO,NO,NO,1,,,,,,,,,,
Virtue Grip_upgraded,Get sum thrice. Overflow|only returns excess dice,1,var s = (actualdice[0].basevalue + actualdice[1].basevalue) % 6; if(s == 0) { s = 6; } givedice([s|s|s]);,Battle Wrench,NORMAL|NORMAL,,ITEM,GREEN,,,,none,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Virtue Grip_downgraded,Get sum twice. Overflow|only returns excess dice,1,var s = (actualdice[0].basevalue + actualdice[1].basevalue) % 6; if(s == 0) { s = 6; } givedice([s|s]);,Battle Wrench,DOUBLES|DOUBLES,,ITEM,GREEN,,,,none,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Tear Down This Wall,Do [sword]<d6> damage. On even[;]|set a random dice to <d6>,2,attack(d); if(d % 2 == 0) { var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d| self.screenposition()); } },Perfectionism,NORMAL,,WEAPON,PINK,change_power,change_function,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Tear Down This Wall_upgraded,Do [sword]<d6> damage[;]|set a random dice to <d6>,2,attack(d); var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d| self.screenposition()); },Perfectionism,NORMAL,,WEAPON,PINK,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Tear Down This Wall_downgraded,Do [sword]<d6> damage. On even[;]|set a random dice to <d6>-1,2,attack(d); if(d == 6) { var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d - 1){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d - 1| self.screenposition()); } } //i am so original it is crazy!,Perfectionism,NORMAL,,WEAPON,PINK,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Two Handed Spike,Even total: Do [sword]<d6>|Odd total: Gain [shield]<d6>|[gray](once per battle),1,if(d%2 == 0){ e.castdirection = 1; attack(d); sfx(~_shield~); } else { e.castdirection = 0; inflictself(SHIELD| d); sfx(~_shield~); },Pillow Fort,NORMAL|NORMAL,,WEAPON,RED,change_power,complicate,,none,0,YES,YES,NO,NO,NO,NO,NO,NO,,,,var cf = 1; var cb = 0; if(!self.isplayer) { cf = 0; cb = 1; } if(d % 2 == 0) { e.castdirection = cf; } else { e.castdirection = cb; },,,,,,,
Two Handed Spike_upgraded,Even total: Gain [shield]<d6>|Odd total: Do [sword]<d6>|[gray](once per battle),1,if(d%2 == 1){ e.castdirection = 1; attack(d); sfx(~_shield~); } else { e.castdirection = 0; inflictself(SHIELD| d); sfx(~_shield~); },Pillow Fort,NORMAL|NORMAL,,WEAPON,RED,,,,none,0,YES,YES,NO,NO,NO,NO,NO,NO,,,,var cf = 1; var cb = 0; if(!self.isplayer) { cf = 0; cb = 1; } if(d % 2 == 0) { e.castdirection = cf; } else { e.castdirection = cb; },,,,,,,
Rifle,Do 2x last dice value as dmg|Take excess value as dmg,2,attack(2 * e.dicehistory[e.dicehistory.length - 1].basevalue); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum - e.countdown > 0) { attackself(sum - e.countdown); sfxdamage(sum - e.countdown); } e.dicehistory = [],Dice Bash,COUNTDOWN,10,WEAPON,RED,change_power,change_function,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Rifle_upgraded,Do 2x last dice value as dmg|Take [sword]2 damage,2,attack(2 * e.dicehistory[e.dicehistory.length - 1].basevalue); attackself(2); e.dicehistory = [],Dice Bash,COUNTDOWN,10,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Rifle_downgraded,Do last dice value as dmg|Take excess value as dmg,2,attack(e.dicehistory[e.dicehistory.length - 1].basevalue); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum - e.countdown > 0) { attackself(sum - e.countdown); sfxdamage(sum - e.countdown); } e.dicehistory = [],Dice Bash,COUNTDOWN,10,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Gimme My Shit Back,Gives you your shit back,1,,Accelerate,,,ITEM,GREEN,,,,none,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,,,var gimmeback = ~if(e.dicehistory.length > 0) { var gimmeshit_h = e.dicehistory.length - 1; var gimmeshit_sum = 0; while(gimmeshit_sum < e.countdown) { gimmeshit_sum = gimmeshit_sum + e.dicehistory[gimmeshit_h]; trace(e.dicehistory[gimmeshit_h]); gimmeshit_h--; } if (e.countdown - gimmeshit_sum > 0) { givedice(e.countdown - gimmeshit_sum); } } ;~; for(eq in self.equipment) { if(eq.script.split(gimmeback).length > 1) { eq.script = eq.script.split(gimmeback)[1]; } },,,,,if(e.shockedsetting == 0) { var gimmeback = ~if(e.dicehistory.length > 0) { var gimmeshit_h = e.dicehistory.length - 1; var gimmeshit_sum = 0; while(gimmeshit_sum < e.countdown) { gimmeshit_sum = gimmeshit_sum + e.dicehistory[gimmeshit_h]; trace(e.dicehistory[gimmeshit_h]); gimmeshit_h--; } if (e.countdown - gimmeshit_sum > 0) { givedice(e.countdown - gimmeshit_sum); } } ~; for(eq in self.equipment) { if(eq.countdown > 0 && eq.script.split(gimmeback).length <= 1) { trace(eq.script); eq.script = gimmeback + eq.script; trace(eq.script); } } }
Look and Say,Describe these numbers,1,var a1 = actualdice[0].basevalue; var a2 = actualdice[1].basevalue; var a3 = actualdice[2].basevalue; if (a1 == a2) { if (a1 == a3) { givedice([3|a3]); } else { givedice([2|a1]); givedice([1|a3]); } } else { givedice([1|a1]); if (a2 == a3) { givedice([2|a2]); } else { givedice([1|a2]); givedice([1|a3]); } } //this item is ultra-niche and i cannot think of why anyone would want to use it. except maybe getting 3 extra pips on a countdown.,Magic Dice,NORMAL|NORMAL|NORMAL,,ITEM,GREEN,change_power,change_function,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Look and Say_upgraded,Describe these numbers|,1,var a1 = actualdice[0].basevalue; var a2 = actualdice[1].basevalue; var a3 = actualdice[2].basevalue; if (a1 == a2) { if (a1 == a3) { givedice([3|a3]); } else { givedice([2|a1]); givedice([1|a3]); } } else { givedice([1|a1]); if (a2 == a3) { givedice([2|a2]); } else { givedice([1|a2]); givedice([1|a3]); } },Magic Dice,NORMAL|NORMAL|NORMAL,,ITEM,GREEN,,,,,2,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Look and Say_downgraded,Describe these numbers,1,var a1 = actualdice[0].basevalue; var a2 = actualdice[1].basevalue; var a3 = actualdice[2].basevalue; if (a1 == a2) { if (a1 == a3) { givedice([3|a3]); } else { givedice([2|a1]); givedice([1|a3]); } } else { givedice([1|a1]); if (a2 == a3) { givedice([2|a2]); } else { givedice([1|a2]); givedice([1|a3]); } },Magic Dice,MAX4|MAX4|MAX4,,ITEM,GREEN,,,,,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Bumpbomb,Do [sword]<d6> damage. On 6[;]|bump all dice below 6,2,attack(d); if(d == 6) { var c = 0; for(mydice in self.dicepool){ if(mydice.basevalue != 6) { mydice.animatereroll(mydice.basevalue + 1|self.screenposition()|c * 0.05); } } } //if(d == 6) { var c = 0; var extradice = []; for (mydice in self.dicepool){ if (mydice.available()){ if (mydice.basevalue >= 6){ extradice.push(1); mydice.animatereroll(6| self.screenposition()| c * 0.05); } else { mydice.animatereroll((mydice.basevalue + 1)| self.screenposition()| c * 0.05); } c++; } } givedice(extradice); } //yeah i literally just copypasted megabump into here. NO fear; baby!,Megabump,NORMAL,,ITEM,GREEN,change_power,change_function,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Bumpbomb_upgraded,Do [sword]<d6> damage. On 5 or 6[;]|bump all dice below 6,2,attack(d); if(d == 6 # d == 5) { var c = 0; for(mydice in self.dicepool){ if(mydice.basevalue != 6) { mydice.animatereroll(mydice.basevalue + 1|self.screenposition()|c * 0.05); } } } //if(d == 6 # d == 5) { var c = 0; var extradice = []; for (mydice in self.dicepool){ if (mydice.available()){ if (mydice.basevalue >= 6){ extradice.push(1); mydice.animatereroll(6| self.screenposition()| c * 0.05); } else { mydice.animatereroll((mydice.basevalue + 1)| self.screenposition()| c * 0.05); } c++; } } givedice(extradice); } //yeah i literally just copypasted megabump into here. NO fear; baby!,Megabump,NORMAL,,ITEM,GREEN,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Bumpbomb_downgraded,Do [sword]<d6> damage. On 6[;]|bump highest non-6 dice,2,attack(d); if(d == 6 && self.dicepool.length > 0) { var max = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue > max && mydice.basevalue != 6) { max = mydice.basevalue; } } for (mydice in self.dicepool){ if(mydice.available() & mydice.basevalue == max) { mydice.animatereroll(mydice.basevalue + 1); break; } } } //if(d == 6 && self.dicepool.length > 0) { var max = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue > max) { max = mydice.basevalue; } } for (mydice in self.dicepool){ if(mydice.available() & mydice.basevalue == max) { if(mydice.basevalue != 6) { mydice.animatereroll(mydice.basevalue + 1); break; } else { mydice.animatereroll(6); givedice(1); break; } } } },Megabump,NORMAL,,ITEM,GREEN,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Scrap Crystal,Recover [heal]3 health|(Always offered as scrap),1,attackself(-3);,Rejuvenate,MIN4,,ITEM,GRAY,change_power,complicate,,_heal,0,YES,NO,NO,NO,NO,NO,YES,NO,,,,,,,,,,,
Scrap Crystal_upgraded,Recover [heal]3 health|(Always offered as scrap)|,1,attackself(-3);,Rejuvenate,MIN4,,ITEM,GRAY,,,,_heal,2,YES,NO,NO,NO,NO,NO,YES,NO,,,,,,,,,,,
Scrap Crystal_downgraded,Recover [heal]3 health|(Always offered as scrap),1,attackself(-3);,Rejuvenate,REQUIRE5,,ITEM,GRAY,,,,_heal,0,YES,NO,NO,NO,NO,NO,YES,NO,,,,,,,,,,,
Custard's Last Stand,Survive next fatal blow[;] but|[blind]Blind all dice next turn,1,inflictself(SURVIVE); jinx(~Custard's Last Stand~|~[blind]Blind all dice~|~[blind]Blind all dice~|~inflict(BLIND|ALL); sfx(\~_confuse\~|\~\~|0.2);~|self|self|1|1); sfx(~_thinghappens~);,Still Standing,ODD,,ITEM,YELLOW,simplify,complicate,survive,_survive,0,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Gyrate Hook?,Do [sword]<d6> damage[;] on|a random number (X)[;]|keep the dice,2,attack(d);,Efficiency,NORMAL,,WEAPON,YELLOW,reducesize,change_function,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,if (d == e.fulldescription.substr(45|1)) { e.animate(~flashandshake~); inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); var kludge = e.fulldescription.substr(27|1); e.fulldescription = ~Do [sword]<d6> damage[~ + ~;] on~ + kludge + ~a random number (~ + rand([1|2|3|4|5|6]) + ~)[~ + ~;]~ + kludge + ~keep the dice~; },,,
Gyrate Hook?_downgraded,Do [sword]<d6> damage[;] on|a random number (5)[;]|keep the dice,2,attack(d);,Efficiency,MAX5,,WEAPON,YELLOW,,,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,if (d == e.fulldescription.substr(45|1)) { e.animate(~flashandshake~); inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); var kludge = e.fulldescription.substr(27|1); e.fulldescription = ~Do [sword]<d6> damage[~ + ~;] on~ + kludge + ~a random number (~ + rand([1|2|3|4|5|6]) + ~)[~ + ~;]~ + kludge + ~keep the dice~; },,,
Gyrate Hook?_weakened,Do [sword]<d6> damage[;] on|a random number (5)[;]|keep the dice,1,attack(d);,Efficiency,MAX5,,WEAPON,YELLOW,,,,_damage,0,NO,NO,YES,NO,NO,NO,NO,NO,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,if (d == e.fulldescription.substr(45|1)) { e.animate(~flashandshake~); inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); var kludge = e.fulldescription.substr(27|1); e.fulldescription = ~Do [sword]<d6> damage[~ + ~;] on~ + kludge + ~a random number (~ + rand([1|2|3|4|5|6]) + ~)[~ + ~;]~ + kludge + ~keep the dice~; },,,
Cactus ,Briar Bush|Gain [thorns]2 thorns,2,inflictself(THORNS|2);,Plasma Gun,,,BACKUP,GREEN,,,,_thorns,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Debate Ender,Convert Ultima to Buster|On jackpot[;] vice versa,1,,Lucky Shot,,,ITEM,GRAY,,change_function,,none,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,//for(eq in self.equipment) { if((eq.name == ~Ultima Weapon~ # eq.name == ~Buster Sword~) && eq.namemodifier == ~+~) { eq.setvar(~yeppiamupgraded~|true); } },for(eq in self.equipment) { if(eq.name == ~Ultima Weapon~ && (eq.namemodifier == ~+~ # eq.originallyupgraded == true)) { var wknme = false; if(eq.namemodifier == ~-~) { wknme = true; } var oldx = eq.x; var oldy = eq.y; eq.create(~Buster Sword~|true); eq.x = oldx; eq.y = oldy; if(wknme == true) { eq.downgrade(); } eq.animate(~flashandshake~); e.setvar(~flashflag~|true); } else if(eq.name == ~Ultima Weapon~) { var wknme = false; if(eq.namemodifier == ~-~) { wknme = true; } var oldx = eq.x; var oldy = eq.y; eq.create(~Buster Sword~|false); eq.x = oldx; eq.y = oldy; if(wknme == true) { eq.downgrade(); } eq.animate(~flashandshake~); e.setvar(~flashflag~|true); } } if(e.getvar(~flashflag~) == true) { e.animate(~flashandshake~); sfx(~openchest~); if(e.col != 0) { e.changecolour(~GRAY~); } e.setvar(~flashflag~|false); },//if(e.col != 0) { e.changecolour(~GRAY~); },if(self.roll_jackpot > 0) { for(eq in self.equipment) { if(eq.name == ~Buster Sword~ && (eq.namemodifier == ~+~ # eq.originallyupgraded == true)) { var wknme = false; if(eq.namemodifier == ~-~) { wknme = true; } var oldx = eq.x; var oldy = eq.y; eq.create(~Ultima Weapon+~|true); eq.x = oldx; eq.y = oldy; if(wknme == true) { eq.downgrade(); } eq.animate(~flashandshake~); e.setvar(~flashflag~|true); } else if(eq.name == ~Buster Sword~) { var wknme = false; if(eq.namemodifier == ~-~) { wknme = true; } var oldx = eq.x; var oldy = eq.y; eq.create(~Ultima Weapon~|false); eq.x = oldx; eq.y = oldy; if(wknme == true) { eq.downgrade(); } eq.animate(~flashandshake~); e.setvar(~flashflag~|true); } } if(e.getvar(~flashflag~) == true) { e.animate(~flashandshake~); if(e.col != 4) { e.changecolour(~YELLOW~); } sfx(~openchest~); e.setvar(~flashflag~|false); } },,,,
Debate Ender_downgraded,Convert Ultima to Buster,1,,Lucky Shot,,,ITEM,GRAY,,,,none,0,NO,NO,NO,YES,NO,NO,NO,NO,,,,//for(eq in self.equipment) { if((eq.name == ~Ultima Weapon~ # eq.name == ~Buster Sword~) && eq.namemodifier == ~+~) { eq.setvar(~yeppiamupgraded~|true); } },for(eq in self.equipment) { if(eq.name == ~Ultima Weapon~ && (eq.namemodifier == ~+~ # eq.originallyupgraded == true)) { var wknme = false; if(eq.namemodifier == ~-~) { wknme = true; } var oldx = eq.x; var oldy = eq.y; eq.create(~Buster Sword~|true); eq.x = oldx; eq.y = oldy; if(wknme == true) { eq.animate(~weaken~); } else { eq.animate(~flashandshake~); } e.setvar(~flashflag~|true); } else if(eq.name == ~Ultima Weapon~) { var wknme = false; if(eq.namemodifier == ~-~) { wknme = true; } var oldx = eq.x; var oldy = eq.y; eq.create(~Buster Sword~|false); eq.x = oldx; eq.y = oldy; if(wknme == true) { eq.animate(~weaken~); } else { eq.animate(~flashandshake~); } e.setvar(~flashflag~|true); } } if(e.getvar(~flashflag~) == true) { e.animate(~flashandshake~); sfx(~openchest~); if(e.col != 0) { e.changecolour(~GRAY~); } e.setvar(~flashflag~|false); },//if(e.col != 0) { e.changecolour(~GRAY~); },,,,,
Buster's Last Stand,Survive next fatal blow|[gray](immune to errors),1,inflictself(SURVIVE);,Still Standing,COUNTDOWN,18,ITEM,GRAY,change_power,change_function,survive,none,0,YES,NO,NO,YES,YES,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand_upgraded,Survive next fatal blow|[gray](immune to errors),1,inflictself(SURVIVE);,Still Standing,COUNTDOWN,12,ITEM,GRAY,,,,none,0,YES,NO,NO,YES,YES,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand_downgraded,No effect|(immune to errors),1,,Still Standing,COUNTDOWN,18,ITEM,GRAY,,,,none,0,YES,NO,NO,YES,YES,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand_weakened,No effect|(immune to errors),1,,Still Standing,COUNTDOWN,12,ITEM,GRAY,,,,none,0,YES,NO,NO,YES,YES,NO,NO,NO,,,,,,,,,,,
Custard's Last Stand?,Survive for 3 turns[;] but|[confuse]Confuse self next turn|[gray](once per battle),1,inflictself(SURVIVE); jinx(~Custard's Last Stand?~|~[confuse]confuse yourself~|~[confuse]Confuse yourself~|~inflict(CONFUSE);~|self|self|1|); sfx(~_thinghappens~);,Still Standing,ODD,,ITEM,YELLOW,simplify,complicate,,_survive,0,YES,YES,YES,NO,NO,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand?,Survive for 3 turns...|[gray](immune to errors)|[gray](once per battle),1,inflictself(SURVIVE);,Still Standing,COUNTDOWN,18,ITEM,GRAY,change_power,change_function,,none,0,YES,YES,YES,YES,YES,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand?_upgraded,Survive for 3 turns...|[gray](immune to errors)|[gray](once per battle),1,inflictself(SURVIVE);,Still Standing,COUNTDOWN,18,ITEM,GRAY,,,,none,0,YES,YES,YES,YES,YES,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand?_downgraded,No effect|(immune to errors),1,,Still Standing,COUNTDOWN,18,ITEM,GRAY,,,,none,0,YES,YES,YES,YES,YES,NO,NO,NO,,,,,,,,,,,
Buster's Last Stand?_weakened,No effect|(immune to errors),1,,Still Standing,COUNTDOWN,12,ITEM,GRAY,,,,none,0,YES,YES,YES,YES,YES,NO,NO,NO,,,,,,,,,,,
AWESOMESWORD,[300%]DO LIKE|[300%]A BUNCH|[300%]OF DAMAGE|[300%]HOLY CRAP,2,attack(2); sfxdamage(target|999);,THE [200%]GASDGFET,NORMAL,,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Swing Me Another 6,Do [sword]<d6> damage[;] roll a 6|[gray](once per battle),1,attack(d); givedice(6);,Magic Six,MAX5,,WEAPON,RED,change_power,change_function,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,1,,,,,,,,,,
Swing Me Another 6_upgraded,Do [sword]<d6> damage[;] roll two 6s|[gray](once per battle),1,attack(d); givedice([6|6]);,Magic Six,MAX5|MAX5,,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Swing Me Another 6_downgraded,Do [sword]<d6>[;] set a dice to 6|[gray](once per battle),1,attack(d); var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != 6){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(6| self.screenposition()); } givedice(6);,Magic Six,MAX5,,WEAPON,RED,,,,_damage,0,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,,,,,,
Combat Slam,Reroll|Reroll unused dice,2,var c = 0; for (mydice in self.dicepool){ if (mydice.available()){ mydice.animatereroll(rand([1|2|3|4|5|6])| self.screenposition()| c * 0.05); c++; } },Reroll,,,BACKUP,GRAY,,,,none,0,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Key,Set a dice to <d6>[;] return dice|,2,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != d){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(d| self.screenposition()| 0); } givedice(d);,Conformity,NORMAL,,ITEM,GRAY,,,,none,2,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Bump,Dice value +1|,2,if(d >= 6){ givedice([6| 1]); } else { givedice(d + 1); },Megabump,NORMAL,,ITEM,GRAY,,,,none,3,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Tweak,First dice value +1|Second dice value -1|,2,var dicearray = []; dicearray.push(actualdice[0].basevalue + 1); if(actualdice[1].basevalue - 1 > 0) { dicearray.push(actualdice[1].basevalue - 1);} if(dicearray[0] == 7) { dicearray[0] = 6; dicearray.push(1); }givedice(dicearray);,Meganudge,NORMAL|NORMAL,,ITEM,GRAY,,,,none,3,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Bulb,Get 2x<d6>s next turn[;]|reroll the dice,2,inflictself(~stash~+d|2); inflictself(~illuminate~); givedice();,Magic Dice,NORMAL,,ITEM,GRAY,,,,_magic,0,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Grip,Get sum twice. Overflow|only returns excess dice|,2,var s = (actualdice[0].basevalue + actualdice[1].basevalue) % 6; if(s == 0) { s = 6; } givedice([s|s]);,Battle Wrench,NORMAL|NORMAL,,ITEM,GRAY,,,,none,2,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Doppel,Double dice value|,2,givedice(d * 2| ~combinedice~);,Clone Device,MAX3,,ITEM,GRAY,,,,none,2,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Mirror,Reroll dice[;] on even[;]|get +1 dice this fight,2,if(d % 2 == 0) { if(simulation) { bonus(1000); } else{ self.extradice++; } } givedice();,Focus,NORMAL,,ITEM,GRAY,,,,magic_gaindice,0,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Dice,Free six,2,,Magic Six,SPARE6,,ITEM,GRAY,,,,none,0,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Gumball,Heal [heal]2[;] reroll dice|,2,attackself(-2); givedice();,Regenerate,MAX3,,ITEM,GRAY,,,,_health,2,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
Combat Gold,Roll an even dice|(3 uses),2,givedice(rand([2|4|6]));,Random Roll,NORMAL,,ITEM,GRAY,,,,none,3,YES,NO,NO,YES,NO,NO,NO,NO,,,,,,,,,,,
