Name,Description,Witch Spell,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Warhammer_downgraded,Do [shock]8 damage[;] if filled|perfectly[;] inflict [shock]1 shock,,2,attack(8|SHOCK); var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum == e.countdown) { inflict(SHOCK|1); sfx(~_shock~); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Electrify,COUNTDOWN,16,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Warhammer_weakened,Do [shock]8 damage[;] if filled|perfectly[;] inflict [shock]1 shock,,2,attack(8|SHOCK); var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum == e.countdown) { inflict(SHOCK|1); sfx(~_shock~); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Electrify,COUNTDOWN,12,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Warhammer 40K,Do [shock]40000 dmg[;] if filled|perfectly[;] inflict [shock]20000[],,2,attack(40000|SHOCK); var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum == e.countdown) { inflict(SHOCK|20000); sfx(~_shock~); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Electrify,COUNTDOWN,99,YELLOW,change_power,change_power,,_damage,0,NO,NO,cannotreuse,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Warhammer 40K_upgraded,Do [shock]40000 dmg[;] if filled|perfectly[;] inflict [shock]20000[],,2,attack(40000|SHOCK); var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum == e.countdown) { inflict(SHOCK|20000); sfx(~_shock~); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Electrify,COUNTDOWN,74,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Warhammer 40K_downgraded,Do [shock]40000 dmg[;] if filled|perfectly[;] inflict [shock]2000[],,2,attack(40000|SHOCK); var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum == e.countdown) { inflict(SHOCK|2000); sfx(~_shock~); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Electrify,COUNTDOWN,99,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Warhammer 40K_weakened,Do [shock]40000 dmg[;] if filled|perfectly[;] inflict [shock]2000[],,2,attack(40000|SHOCK); var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum == e.countdown) { inflict(SHOCK|2000); sfx(~_shock~); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Electrify,COUNTDOWN,74,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Baby's First Counting Book,Do [sword]5 damage[;]|on 1[;] 2[;] 3[;] 4[;] 5[;] do [sword]15,1,1,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var coolflag = true; if(e.dicehistory.length == 5) { for(i in 0...4) { if(e.dicehistory[i].basevalue != i + 1) { coolflag = false; break; } } } else { coolflag = false; } if(coolflag == true) { attack(15); } else { attack(5); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Double Whammy,COUNTDOWN,15,YELLOW,change_power,change_power,,_damage,0,NO,NO,cannotreuse,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Baby's First Counting Book_upgraded,Do [sword]5 damage[;]|on 1[;] 2[;] 3[;] 4[;] 5[;] do [sword]20,,1,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var coolflag = true; if(e.dicehistory.length == 5) { for(i in 0...4) { if(e.dicehistory[i].basevalue != i + 1) { coolflag = false; break; } } } else { coolflag = false; } if(coolflag == true) { attack(20); } else { attack(5); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Double Whammy,COUNTDOWN,15,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Baby's First Counting Book_downgraded,Do [sword]5 damage[;]|on 5[;] 4[;] 3[;] 2[;] 1[;] do [sword]15,,1,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var coolflag = true; if(e.dicehistory.length == 5) { for(i in 0...4) { if(e.dicehistory[i].basevalue != 5 - i) { coolflag = false; break; } } } else { coolflag = false; } if(coolflag == true) { attack(15); } else { attack(5); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Double Whammy,COUNTDOWN,15,YELLOW,,,,_damage,0,NO,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Gadsby Gun,Do [sword]2. If your gizmo's alias|lacks a particular common|Anglo-Saxon symbol[;] [sword]6.,,1,trace(Gadget.getcurrentgadget(self)); var g = Gadget.getcurrentgadget(self).toLowerCase().split(~e~); if(g.length == 1) { attack(6); } else { attack(2); } trace(g.length); trace(g); /*i wonder if you could mess with haxe enough to write this script without using the letter e as well*/,Plasma Gun,ODD,,YELLOW,change_power,change_power,,_damage,0,NO,NO,inventeronly|excludefromrandomlists,,,,,,,,,,,
Gadsby Gun_upgraded,Deal [sword]3. When gadget|name features the formerly|forbidden letter[;] deal [sword]7.,,1,trace(Gadget.getcurrentgadget(self)); var g = Gadget.getcurrentgadget(self).toLowerCase().split(~e~); if(g.length > 1) { attack(7); } else { attack(3); } trace(g.length); trace(g);,Vaporizer,EVEN,,YELLOW,,,,_damage,0,NO,NO,inventeronly|excludefromrandomlists,,,,,,,,,,,
Gadsby Gun_downgraded,If your gizmo's alias lacks|a particular common Anglo-|Saxon symbol[;] do [sword]4.,,1,trace(Gadget.getcurrentgadget(self)); var g = Gadget.getcurrentgadget(self).toLowerCase().split(~e~); if(g.length == 1) { attack(4); } else { self.textparticle(~No can-do!~); } trace(g.length); trace(g);,Plasma Gun,ODD,,YELLOW,,,,_damage,0,NO,NO,inventeronly|excludefromrandomlists,,,,,,,,,,,
Dripping Yellow Madness,Do [sword]<d6> damage[;] on 6[;]|repaint an enemy card,1,1,attack(d); var cardlist = []; if(d == 6) { for(eq in target.equipment) { if (eq.equipmentcol != 4) { cardlist.push(eq); } } } if (cardlist.length > 0) { shuffle(cardlist); cardlist[0].changecolour(~YELLOW~); sfx(~_thinghappens~); },Zap,NORMAL,,YELLOW,change_power,change_power,,_damage,0,NO,NO,,,,,,,,,,,,
Dripping Yellow Madness_upgraded,Do [sword]<d6> damage[;] on even[;]|repaint an enemy card,,1,attack(d); var cardlist = []; if(d % 2 == 0) { for(eq in target.equipment) { if (eq.equipmentcol != 4) { cardlist.push(eq); } } } if (cardlist.length > 0) { shuffle(cardlist); cardlist[0].changecolour(~YELLOW~); sfx(~_thinghappens~); },Zap,NORMAL,,YELLOW,,,,_damage,0,NO,NO,,,,,,,,,,,,
Dripping Yellow Madness_downgraded,Do [sword]<d6> damage[;] on 6[;]|repaint one of your cards,,1,attack(d); var cardlist = []; if(d == 6) { for(eq in self.equipment) { if (eq.equipmentcol != 4 && eq.ready) { cardlist.push(eq); } } } if(cardlist.length == 0) { for(eq in self.equipment) { if (eq.equipmentcol != 4) { cardlist.push(eq); } } } if (cardlist.length > 0) { shuffle(cardlist); if(cardlist[0].ready) { cardlist[0].animate(~flashandshake~); } cardlist[0].changecolour(~YELLOW~); sfx(~_thinghappens~); },Zap,NORMAL,,YELLOW,,,,_damage,0,NO,NO,,,,,,,,,,,,
Going Really Fast,Take an extra turn. Resets if|you insert >1 dice this turn|[gray](once per battle),1,1,inflictself(EXTRATURN); self.endturnnow();,Time Stop,COUNTDOWN,18,YELLOW,change_power,change_power,,_fury,0,YES,YES,,,,,e.dicehistory = [];,,,,,if(e.remainingcountdown > 6) { roboterror(self| [e]); e.remainingcountdown = 18; },e.preventdefault = true; e.maintainfury = true;,if(e.dicehistory.length > 1 && e.ready) { e.destroydice(); e.animate(~flashandshake~); e.remainingcountdown = 18; e.dicehistory = []; }
Going Really Fast_upgraded,Gain an extra turn. Resets if|you insert >1 dice this turn|[gray](once per battle),,1,inflictself(EXTRATURN);,Time Stop,COUNTDOWN,18,YELLOW,,,,_fury,0,YES,YES,,,,,e.dicehistory = [];,,,,,if(e.remainingcountdown > 6) { roboterror(self| [e]); e.remainingcountdown = 18; },e.preventdefault = true; e.maintainfury = true;,if(e.dicehistory.length > 1 && e.ready) { e.destroydice(); e.animate(~flashandshake~); e.remainingcountdown = 18; e.dicehistory = []; }
Going Really Fast_downgraded,Get three new dice. Resets if|you insert >1 dice this turn|[gray](once per battle),,1,givedice(rand([1|2|3|4|5|6])); givedice(rand([1|2|3|4|5|6])); givedice(rand([1|2|3|4|5|6]));,Time Stop,COUNTDOWN,18,YELLOW,,,,_fury,0,YES,YES,,,,,e.dicehistory = [];,,,,,if(e.remainingcountdown > 6) { roboterror(self| [e]); e.remainingcountdown = 18; },e.preventdefault = true; e.maintainfury = true;,if(e.dicehistory.length > 1 && e.ready) { e.destroydice(); e.animate(~flashandshake~); e.remainingcountdown = 18; e.dicehistory = []; }
Paul of Mirrors,[]+1 dice this fight|(to Paul. Who's Paul?),1,1,if(self.name.toLowerCase() == ~paul~) self.extradice++; if(target.name.toLowerCase() == ~paul~) target.extradice++; /*it's a stupid pun on the halloweenspecial equipment 'wall of mirrors'; which is worded '+1 dice this fight (to enemy)'*/,Plexiglass,REQUIRE6,,RED,simplify,doublerequirements,,magic_gaindice,0,YES,NO,,,,,,,,,,,,
Operator,Do [sword]<d6> damage|In two turns[;] receive a <d6>,,2,attack(d); jinx(~Operator~|~receive a %VAR%~|~Receive a %VAR%~|~inflict(\~stash\~+%VAR%); sfx(\~magic_gaindice\~); ~|self|self|2|d); sfx(~_thinghappens~);,Efficiency,MAX5,,PINK,simplify,complicate,,_damage,0,NO,NO,,jinx(~Operator~|~receive a %VAR%~|~Receive a %VAR%~|~inflict(\~stash\~+%VAR%); sfx(\~magic_gaindice\~); ~|self|self|2|d); sfx(~_thinghappens~);,,,,,,,,,,
Blind Justice,Do [sword]<d6> damage[;]|double if dice is obscured,,1,if (actualdice[0].blind == true) { attack(d * 2); } else { attack(d); },Obfuscate,MAX5,,PURPLE,add1,change_power,,_damage,0,NO,NO,,,,,,,,,,,,
Blind Justice_downgraded,Do [sword]<d6> damage|if dice is obscured,,1,if (actualdice[0].blind == true) { attack(d); },Obfuscate,MAX5,,PURPLE,,,,_damage,0,NO,NO,,,,,,,,,,,,
Mirrorang,[]+2 dice this fight[;]|+1 dice for enemy,,1,if(!simulation) { self.extradice+= 2; target.extradice++; } else { bonus(1000); },Plexiglass,REQUIRE6,,PURPLE,simplify,change_power,,magic_gaindice,0,YES,NO,,,,,,,,,,,,
Mirrorang_downgraded,[]+1 dice this fight[;]|+1 dice for enemy,,1,if(!simulation) { self.extradice++; target.extradice++; } else { bonus(1000); },Plexiglass,REQUIRE6,,PURPLE,,,,magic_gaindice,0,YES,NO,,,,,,,,,,,,
Combat,Do [sword]<d6> damage|(You take [sword]2 dmg each turn),,2,attack(d);,Lucky Shot,NORMAL|FREE3,,GRAY,,,,_damage,0,NO,NO,skillcard,,,,,attackself(2); e.animate(~flashandshake~); sfxdamage(self|2);,,,,,,
Zombocombat,Do [sword]<d6> damage|(Get a debuff each turn),,2,attack(d);,Lucky Shot,NORMAL|FREE3,,GRAY,,,,_damage,0,NO,NO,skillcard,,,,var s = rand([0|1|2|2|2|2|3|3|3|3|4|4|4|5|5|5|6|6]); var statuspool = [CURSE|LOCK|FIRE|ICE|WEAKEN|SHOCK|POISON]; var soundpool = [~_curse~|~_lock~|~_fire~|~_ice~|~_weaken~|~_shock~|~_poison~]; inflictself(statuspool[s]); sfx(soundpool[s]);,,,,,,,
Sickle,Do [shock]<d6> damage[;]|on <d6>[;] inflict [shock]1 shock,,2,attack(d|SHOCK); e.setvar(~test~|true); if(!e.getvar(~sicknum~) > 0) { e.setvar(~sicknum~|d); var j = e.fulldescription.split(~on <d6>~); e.fulldescription = j.join(~on ~ + e.getvar(~sicknum~)); for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { if(eq.fulldescription.split(~on ~ + e.getvar(~sicknum~)).length == 1) { eq.fulldescription = j.join(~on ~ + e.getvar(~sicknum~)); eq.setvar(~sicknum~|e.getvar(~sicknum~)); eq.animate(~flash~); } eq.setvar(~test~|false); break; } } } sfxdamage(target|d); if((e.getvar(~sicknum~) != e.fulldescription.substr(28|1) - 0) && (e.fulldescription.substr(28|1) > 0)) { e.setvar(~sicknum~|e.fulldescription.substr(28|1) - 0); } trace(e.getvar(~sicknum~)); if(d == e.getvar(~sicknum~) # d == e.fulldescription.substr(28|1) - 0) { inflict(SHOCK); sfx(~_shock~|~~|0.2); } e.setvar(~test~|false);,Electrify,NORMAL,,YELLOW,reducesize,change_power,,none,0,NO,NO,,,e.fulldescription = ~Do [shock]<d6> damage[~ + ~;]~ + ~#~.substr(0|1) + ~on <d6>[~ + ~;] inflict [shock]1 shock~; e.setvar(~sicknum~|0);,e.fulldescription = ~Do [shock]<d6> damage[~ + ~;]~ + ~#~.substr(0|1) + ~on <d6>[~ + ~;] inflict [shock]1 shock~; e.setvar(~sicknum~|0);,if(e.fulldescription.split(~on <d6>~).length > 1 && e.getvar(~sicknum~) > 0) { e.fulldescription = e.fulldescription.split(~on <d6>~).join(~on ~ + e.getvar(~sicknum~)); },e.setvar(~oldrow~|e.row); e.setvar(~oldcolumn~|e.column);,,e.setvar(~oldrow~|e.row); e.setvar(~oldcolumn~|e.column);,for(eq in self.equipment) { if(eq.name == e.name && eq.namemodifier == e.namemodifier && (eq.y + 10) >= e.y && (eq.y - 10) <= e.y && (eq.x + 10) >= e.x && (eq.x - 10) <= e.x) { eq.setvar(~test~|true); } },,,e.setvar(~oldrow~|e.row); e.setvar(~oldcolumn~|e.column);
