Name,Description,Requirements,Script
Boltzmann Brain,Mimic a random gadget,,var gadgpool = loadtext(~ncrmod/boltzmannbrainrandomgadget~); if(chance(33)) gadgpool.push(~Broken Gadget~); if(target.dice + target.extradice > 1 && self.dice + self.extradice > 1) gadgpool.push(~Plexiglass~); if(self.getvar(~invgadgets_eqsused_display~) > 0) { gadgpool.push(~Guitar Solo~); gadgpool.push(~Discharge~); } gadgpool = shuffle(gadgpool); var emulategadget = new elements.Skill(gadgpool[0]); if(emulategadget.name == ~Gadget Roll~) { var availdice = []; for (mydice in self.dicepool){ if (mydice.available()){ availdice.push(mydice); } } if(availdice.length > 0) { trace(~hi~); shuffle(availdice); availdice[0].animatereroll(rand([1|2|3|4|5|6]) | self.screenposition()); sfx(~diceroll~); } } else { emulategadget.execute(self|target); } if(!self.isplayer) var self = target; self.getskillcard().animation = []; self.getskillcard().animate(~particleblah~); self.getskillcard().animation[0].addcommand(~textparticle~[;] emulategadget.name + ~!~[;] 16777215);
Pure Evil,[sword]7 dmg (passive: get [curse]1[]),,attack(7); sfxdamage(target|7);
Embrace,Double HP for both (once),,attackself(-self.hp); attack(-target.hp); sfx(~_heal~); if(!self.isplayer) var self = target; Gadget.changegadget(self| ~Embrace~| ~Broken Gadget~);
Anthrax,Poison a random amount,,var r = rand([1|1|2|2|2|2|3|3|4|5]); inflict(POISON| r); sfx(~_poison~);
Omegaflip,Flip dice under 4,,var c = 0; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue < 4){ mydice.animatereroll((7 - mydice.basevalue)| self.screenposition()| c * 0.05); c++; } } sfx(~useitem~);
Comedy,Error [ncr_error]1 card,,inflict(~ncr_error~); sfx(~roboterror~);
Best Friend,[]+1 dice[;] forever (once),,self.dice++; if(!self.isplayer) var self = target; Gadget.changegadget(self| ~Best Friend~| ~Broken Gadget~); sfx(~permadice~);
Identity Crisis,Become Warrior (once),,if(!self.isplayer) { self.textparticle(~No effect!~); } else { var s = new elements.Skill(~Against all odds_old~); s.script = ~switchenemy(target|rand(getenemy(-1|[\~Sorceress\~])));~; s.execute(target|self); }
N/A,Consumed upon entering battle,,self.textparticle(~HOWD YOU DO THIS~); self.y += 999;
lolsorandom,Reroll an active item,,if(self.equipment.length > 0 && self.layout != ~DECK~) {  var eqlist = []; for(eq in self.equipment) { if(eq.skillcard == ~~ && eq.isready(true) && !eq.temporary_thisturnonly && eq.onscreen()) { eqlist.push(eq); } }  if(eqlist.length > 0) for(eq in eqlist) { trace(eq.name); trace(eq.row); trace(eq.column); }  if(eqlist.length > 0) {  var choseneq = rand(eqlist);   var smallorlarge = ~small~;      if(choseneq.size > 1) {       smallorlarge = ~large~;      }    var exceptions = [~skillcard~|~excludefromrandomlists~|~alternateversion~|~robotonly~|~witchonly~|~inventoronly~|~onceperbattle~|~jester~]; if(self.usecpuinsteadofdice) exceptions.remove(~robotonly~); if(self.getskillcard().skillcard == ~witch~) exceptions.remove(~witchonly~); if(self.getskillcard() != null && self.getskillcard().skillcard == ~inventor~) exceptions.remove(~inventoronly~);  var neweq = new elements.Equipment(rand(getequipmentlist(null|[smallorlarge]|exceptions)));      neweq.row = choseneq.row; neweq.column = choseneq.column; neweq.x = choseneq.x;      neweq.y = choseneq.y;      self.equipment[self.equipment.indexOf(choseneq)] = neweq;      var dobefcombscript = new elements.Skill(~Against all odds_old~);      dobefcombscript.script = neweq.scriptbeforecombat;      dobefcombscript.execute(self|target);      var dobefturnscript = new elements.Skill(~Against all odds_old~);      dobefturnscript.script = neweq.scriptbeforestartturn;      dobefturnscript.execute(self|target); var doonturnscript = new elements.Skill(~Against all odds_old~); doonturnscript.script = neweq.scriptonstartturn; doonturnscript.execute(self|target);      neweq.animate(~flashandshake~); sfx(~upgradeequipment~);  } else { self.textparticle(~No effect!~); }      } else {      self.textparticle(~No effect!~);     }     trace(~--~); for(eq in self.equipment) { trace(eq.name); trace(eq.row); trace(eq.column); }
Oh Shit!,Take [sword]1 damage,,attackself(1); sfxdamage(self|1);
Disk Cleanup,Set CPU to 0,,adjustrobotcounter(-self.roll_total); sfx(~jackpot_reducecounter~);
Disk Partitioning,Decrease CPU by half,,adjustrobotcounter(-(self.roll_total / 2)); sfx(~jackpot_reducecounter~);
Broken Gadget[],Inflict [confuse]Confuse,,inflict(CONFUSE); sfx(~_confuse~);
Vroom,Gain [ncr_car]2 cars,,inflictself(~ncr_car~|2); sfx(~car~);
Pet Peeve,Gain [fury]2 fury (once),,inflictself(FURY|2); sfx(~_fury~); sfx(~_fury~|~~|0.2); if(!self.isplayer) var self = target; Gadget.changegadget(self| ~Pet Peeve~| ~Broken Gadget~);
Bling,Do [sword]1 per gold (once),,sfx(~pickupgold~); sfxdamage(target|self.gold); attack(self.gold); if(!self.isplayer) var self = target; Gadget.changegadget(self| ~Bling~| ~Broken Gadget~);
Improvise,Get a temporary random item,,giveequipment(rand(getequipmentlist(null|[]|[~skillcard~|~excludefromrandomlists~|~robotonly~|~witchonly~|~onceperbattle~|~alternateversion~])));
Heck Off,Set your HP to 0,,self.hp = 0; self.reducehp(0);
