Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Sickle_deckupgrade,Do [shock]<d6> damage[;]|on <d6>[;] inflict [shock]2 shock,2,attack(d|SHOCK); e.setvar(~test~|true); if(!e.getvar(~sicknum~) > 0) { e.setvar(~sicknum~|d); var j = e.fulldescription.split(~on <d6>~); e.fulldescription = j.join(~on ~ + e.getvar(~sicknum~)); for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { if(eq.fulldescription.split(~on ~ + e.getvar(~sicknum~)).length == 1) { eq.fulldescription = j.join(~on ~ + e.getvar(~sicknum~)); eq.setvar(~sicknum~|e.getvar(~sicknum~)); eq.animate(~flash~); } eq.setvar(~test~|false); break; } } } sfxdamage(target|d); if((e.getvar(~sicknum~) != e.fulldescription.substr(28|1) - 0) && (e.fulldescription.substr(28|1) > 0)) { e.setvar(~sicknum~|e.fulldescription.substr(28|1) - 0); } trace(e.getvar(~sicknum~)); if(d == e.getvar(~sicknum~) # d == e.fulldescription.substr(28|1) - 0) { inflict(SHOCK|2); sfx(~_shock~|~~|0.2); } e.setvar(~test~|false);,Electrify,NORMAL,,YELLOW,,,,none,0,NO,NO,,,,e.fulldescription = ~Do [shock]<d6> damage[~ + ~;]~ + ~#~.substr(0|1) + ~on <d6>[~ + ~;] inflict [shock]1 shock~; e.setvar(~sicknum~|0);,e.fulldescription = ~Do [shock]<d6> damage[~ + ~;]~ + ~#~.substr(0|1) + ~on <d6>[~ + ~;] inflict [shock]1 shock~; e.setvar(~sicknum~|0);,if(e.fulldescription.split(~on <d6>~).length > 1 && e.getvar(~sicknum~) > 0) { e.fulldescription = e.fulldescription.split(~on <d6>~).join(~on ~ + e.getvar(~sicknum~)); },e.setvar(~oldrow~|e.row); e.setvar(~oldcolumn~|e.column);,,e.setvar(~oldrow~|e.row); e.setvar(~oldcolumn~|e.column);,for(eq in self.equipment) { if(eq.name == e.name && eq.namemodifier == e.namemodifier && (eq.y + 10) >= e.y && (eq.y - 10) <= e.y && (eq.x + 10) >= e.x && (eq.x - 10) <= e.x) { eq.setvar(~test~|true); } },,,e.setvar(~oldrow~|e.row); e.setvar(~oldcolumn~|e.column);
Retroreflector,Roll one dice per|extra dice this fight,1,var dicelist = []; if(self.extradice > 0) for (i in 0...self.extradice) { dicelist.push(rand([1|2|3|4|5|6])); } if (dicelist.length == 0) { self.textparticle(~No effect!~); } else { givedice(dicelist); },Mirror Smash,COUNTDOWN,6,PURPLE,change_power,change_function,,magic_gaindice,0,YES,NO,,2,,,,,,,,,,,
Retroreflector_upgraded,Roll one dice per|extra dice this fight[;]|+1 this fight if this fails,1,var dicelist = []; if(self.extradice > 0) for (i in 0...self.extradice) { dicelist.push(rand([1|2|3|4|5|6])); } if (dicelist.length == 0) { self.extradice++; } else { givedice(dicelist); },Mirror Smash,COUNTDOWN,6,PURPLE,,,,magic_gaindice,0,YES,NO,,,,,,,,,,,,,
Retroreflector_downgraded,Roll one dice per|extra dice this fight[;]|-1 this fight if this works,1,var dicelist = []; if(self.extradice > 0) for (i in 0...self.extradice) { dicelist.push(rand([1|2|3|4|5|6])); } if (dicelist.length == 0) { self.textparticle(~No effect!~); } else { self.extradice--; givedice(dicelist); },Mirror Smash,COUNTDOWN,6,PURPLE,,,,magic_gaindice,0,YES,NO,,,,,,,,,,,,,
Golden Gun,Pay [gold]<d6>[;] do [sword]<double>|Return dice if unaffordable,2,if (self.gold >= d) { self.gold -= d; attack(d * 2); sfxdamage(target|d * 2); sfx(~pickupgold~); } else { givedice(d); },Harvest,NORMAL,,YELLOW,change_power,complicate,,none,0,NO,NO,showgold,,,,,,,,,,,,
Golden Gun_upgraded,Pay [gold]<d6>-1[;] do [sword]<double>|Return dice if unaffordable,2,if (self.gold >= d - 1) { self.gold -= (d - 1); attack(d * 2); sfxdamage(target|d * 2); sfx(~pickupgold~); } else {givedice(d); },Harvest,NORMAL,,YELLOW,,,,none,0,NO,NO,showgold,,,,,,,,,,,,
Snake Oil,Pay [gold]<d6>[;] inflict [poison]<d6>|Return dice if unaffordable,2,if (self.gold >= d) { self.gold -= d; inflict(POISON|d); sfx(~_poison~); sfx(~pickupgold~); } else { givedice(d); },Acid Arrow,MAX4,,PURPLE,increaserange,decreaserange,,none,0,NO,NO,showgold,,,,,,,,,,,,
Wall Street Shuffle,Get [gold]<d6> gold[;] tighten|slot by <d6> for this fight|(disappears at max 0),2,var maxes = [~ODD~|~REQUIRE1~|~MAX2~|~MAX3~|~MAX4~|~MAX5~|~NORMAL~]; var m = maxes.indexOf(e.getslots()[0]); trace(m); trace(d); if(m < d) { m = 0; } else { m = m - d; } trace(m); if(m == 0) { e.changeslots([]); } else { e.changeslots([maxes[m]]); } self.gold += d; if(m == 0) { self.setvar(~wallstreet~|null); } else { self.setvar(~wallstreet~|maxes[m]); },Hustle,NORMAL,,YELLOW,,,,pickupgold,0,YES,NO,showgold|excludefromrandomlists|cannotsteal|weakenavoid|curseavoid,,,,,if(e.getslots()[0] != self.getvar(~wallstreet~)) { e.changeslots([self.getvar(~wallstreet~)]); },,,,var maxes = [~ODD~|~REQUIRE1~|~MAX2~|~MAX3~|~MAX4~|~MAX5~|~NORMAL~]; var m = maxes.indexOf(e.getslots()[0]); if (d == m) { e.onceperbattle = true; },,,
Winds of Christmas,Do [sword]1 damage per [gold]1[;]|then halve your gold|[gray](once per battle),1,if(self.gold > 0) {attack(self.gold); var newgold = self.gold / 2; if(newgold % 1 != 0) newgold += 0.5; self.gold = newgold; sfx(~pickupgold~); },Harvest,EVEN,,YELLOW,simplify,complicate,,_damage,0,NO,YES,showgold,,,,,,,,,,,,
See No Evil,[Blind]Blind all your dice|on the next turn,1,jinx(~See No Evil~|~[blind]blind all your dice~|~[blind]Blind all your dice~|~inflict(BLIND|ALL); sfx(\~_blind\~);~|self|self|1|0); sfx(~_thinghappens~);,Science,NORMAL,,GRAY,,,blind,_blind,0,YES,NO,,,,,,,,,,,,,
See No Evil?,[Confuse]Confuse yourself|on the next turn,1,jinx(~See No Evil?~|~[confuse]confuse yourself~|~[confuse]Confuse yourself~|~inflict(CONFUSE); sfx(\~_confuse\~);~|self|self|1|0); sfx(~_thinghappens~);,Science,NORMAL,,GRAY,,,,_blind,0,YES,NO,alternateversion,,,,,,,,,,,,
Whipcrack,Do [fire]<d6> damage[;] on 6[;]|next use inflicts [fire]2 burn,2,sfxdamage(target|d); e.setvar(~test~|true); var readystring = ~#~.substr(0|1) + ~[red](ready)~; attack(d|FIRE); if(e.fulldescription.split(readystring).length > 1) { inflict(FIRE|2); } if(d == 6 && e.fulldescription.split(readystring).length == 1) { trace(~hi 1~); e.fulldescription = e.fulldescription + readystring; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { trace(~hi 2~); if(eq.fulldescription.split(readystring).length == 1) { trace(~hi 3~); eq.fulldescription = eq.fulldescription + readystring; eq.animate(~flash~); } eq.setvar(~test~|false); break; } } } if(d != 6 && e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { eq.fulldescription = eq.fulldescription.split(readystring)[0]; eq.animate(~flash~); eq.setvar(~test~|false); break; } } } e.setvar(~test~|false);,Hellfire,NORMAL,,RED,reducesize,change_function,,_fire,0,NO,NO,excludefromrandomlists,,,var readystring = ~#~.substr(0|1) + ~[red](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },var readystring = ~#~.substr(0|1) + ~[red](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },,,,,for(eq in self.equipment) { if(eq.name == e.name && eq.namemodifier == e.namemodifier && (eq.y + 10) >= e.y && (eq.y - 10) <= e.y && (eq.x + 10) >= e.x && (eq.x - 10) <= e.x) { eq.setvar(~test~|true); } },,,
Whipcrack_downgraded,Do [fire]<d6> damage,2,sfxdamage(target|d); attack(d|FIRE);,Hellfire,NORMAL,,RED,,,,_fire,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Whipcrack_weakened,Do [fire]<d6> damage,1,sfxdamage(target|d); attack(d|FIRE);,Hellfire,NORMAL,,RED,,,,_fire,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Whipcrack_deckupgrade,Do [fire]<d6> damage[;] on 4-6[;]|next use inflicts [fire]2 burn,2,sfxdamage(target|d); e.setvar(~test~|true); var readystring = ~#~.substr(0|1) + ~[red](ready)~; attack(d|FIRE); if(e.fulldescription.split(readystring).length > 1) { inflict(FIRE|2); } if(d > 3 && e.fulldescription.split(readystring).length == 1) { trace(~hi 1~); e.fulldescription = e.fulldescription + readystring; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { trace(~hi 2~); if(eq.fulldescription.split(readystring).length == 1) { trace(~hi 3~); eq.fulldescription = eq.fulldescription + readystring; eq.animate(~flash~); } eq.setvar(~test~|false); break; } } } if(d < 4 && e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { eq.fulldescription = eq.fulldescription.split(readystring)[0]; eq.animate(~flash~); eq.setvar(~test~|false); break; } } } e.setvar(~test~|false);,Hellfire,NORMAL,,RED,,,,_fire,0,NO,NO,excludefromrandomlists,,,var readystring = ~#~.substr(0|1) + ~[red](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },var readystring = ~#~.substr(0|1) + ~[red](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },,,,,for(eq in self.equipment) { if(eq.name == e.name && eq.namemodifier == e.namemodifier && (eq.y + 10) >= e.y && (eq.y - 10) <= e.y && (eq.x + 10) >= e.x && (eq.x - 10) <= e.x) { eq.setvar(~test~|true); } },,,
Gyrate Hook,Do [sword]<d6> damage[;] on|a random number (X)[;]|you can re-use this,2,sfxdamage(target|d); attack(d);,Efficiency,NORMAL,,YELLOW,reducesize,change_function,reequipnext,_damage,0,NO,NO,,,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,var desccheck = e.fulldescription.split(~<d6>~); if(desccheck[1].indexOf(~~ + d) > 0) { inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); e.animate(~flash~); var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } } },,,
Gyrate Hook_downgraded,Do [sword]<d6> damage[;] on|a random number (5)[;]|you can re-use this,2,sfxdamage(target|d); attack(d);,Efficiency,MAX5,,YELLOW,,,,_damage,0,NO,NO,,,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,var desccheck = e.fulldescription.split(~<d6>~); if(desccheck[1].indexOf(~~ + d) > 0) { inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); e.animate(~flash~); var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } } },,,
Gyrate Hook_weakened,Do [sword]<d6> damage[;] on|a random number (5)[;]|you can re-use this,1,sfxdamage(target|d); attack(d);,Efficiency,MAX5,,YELLOW,,,,_damage,0,NO,NO,,,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,var desccheck = e.fulldescription.split(~<d6>~); if(desccheck[1].indexOf(~~ + d) > 0) { inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); e.animate(~flash~); var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } } },,,
Gyrate Hook_deckupgrade,Do [sword]<d6> damage[;] on|a random number (X)[;]|you can re-use this,2,sfxdamage(target|d); attack(d);,Efficiency,NORMAL|FREE1,,YELLOW,,,,_damage,0,NO,NO,,,,,,var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } },,,,var desccheck = e.fulldescription.split(~<d6>~); if(desccheck[1].indexOf(~~ + (d - 1)) > 0) { inflictself(REEQUIPNEXT); sfx(~_recycle~|~~|0.2); e.animate(~flash~); var desc = ~~ + e.fulldescription; var replacesymbols = [~(X)~|~(1)~|~(2)~|~(3)~|~(4)~|~(5)~|~(6)~]; for(s in replacesymbols) { if(desc.split(s).length > 1) { e.fulldescription = desc.split(~~ + s).join(~(~ + rand([1|2|3|4|5|6]) + ~)~); } } },,,
Glacial Blade,Do [ice]<d6> damage[;] on 6[;]|next use inflicts [ice]2 freeze,2,sfxdamage(target|d); e.setvar(~test~|true); var readystring = ~#~.substr(0|1) + ~[blue](ready)~; attack(d|ICE); if(e.fulldescription.split(readystring).length > 1) { inflict(ICE|2); } if(d == 6 && e.fulldescription.split(readystring).length == 1) { trace(~hi 1~); e.fulldescription = e.fulldescription + readystring; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { trace(~hi 2~); if(eq.fulldescription.split(readystring).length == 1) { trace(~hi 3~); eq.fulldescription = eq.fulldescription + readystring; eq.animate(~flash~); } eq.setvar(~test~|false); break; } } } if(d != 6 && e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { eq.fulldescription = eq.fulldescription.split(readystring)[0]; eq.animate(~flash~); eq.setvar(~test~|false); break; } } } e.setvar(~test~|false);,Arctic Storm,NORMAL,,BRIGHTCYAN,reducesize,change_function,,_ice,0,NO,NO,excludefromrandomlists,,,var readystring = ~#~.substr(0|1) + ~[blue](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },var readystring = ~#~.substr(0|1) + ~[blue](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },,,,,for(eq in self.equipment) { if(eq.name == e.name && eq.namemodifier == e.namemodifier && (eq.y + 10) >= e.y && (eq.y - 10) <= e.y && (eq.x + 10) >= e.x && (eq.x - 10) <= e.x) { eq.setvar(~test~|true); } },,,
Glacial Blade_downgraded,Do [ice]<d6> damage,2,sfxdamage(target|d); attack(d|ICE);,Arctic Storm,NORMAL,,BRIGHTCYAN,,,,_ice,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Glacial Blade_weakened,Do [ice]<d6> damage,1,sfxdamage(target|d); attack(d|ICE);,Arctic Storm,NORMAL,,BRIGHTCYAN,,,,_ice,0,NO,NO,excludefromrandomlists,,,,,,,,,,,,
Glacial Blade_deckupgrade,Do [ice]<d6> damage[;] on 4-6[;]|next use inflicts [ice]2 freeze,2,sfxdamage(target|d); e.setvar(~test~|true); var readystring = ~#~.substr(0|1) + ~[blue](ready)~; attack(d|ICE); if(e.fulldescription.split(readystring).length > 1) { inflict(ICE|2); } if(d > 3 && e.fulldescription.split(readystring).length == 1) { trace(~hi 1~); e.fulldescription = e.fulldescription + readystring; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { trace(~hi 2~); if(eq.fulldescription.split(readystring).length == 1) { trace(~hi 3~); eq.fulldescription = eq.fulldescription + readystring; eq.animate(~flash~); } eq.setvar(~test~|false); break; } } } if(d < 4 && e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; for(eq in self.equipment) { if(e.getvar(~test~) == true && eq.getvar(~test~) == true && eq.ready) { eq.fulldescription = eq.fulldescription.split(readystring)[0]; eq.animate(~flash~); eq.setvar(~test~|false); break; } } } e.setvar(~test~|false);,Arctic Storm,NORMAL,,BRIGHTCYAN,,,,_ice,0,NO,NO,excludefromrandomlists,,,var readystring = ~#~.substr(0|1) + ~[blue](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },var readystring = ~#~.substr(0|1) + ~[blue](ready)~; if(e.fulldescription.split(readystring).length > 1) { e.fulldescription = e.fulldescription.split(readystring)[0]; },,,,,for(eq in self.equipment) { if(eq.name == e.name && eq.namemodifier == e.namemodifier && (eq.y + 10) >= e.y && (eq.y - 10) <= e.y && (eq.x + 10) >= e.x && (eq.x - 10) <= e.x) { eq.setvar(~test~|true); } },,,
Ashley Bat,Gain [fury]Fury (just 1) on 5[;]|then do [sword]<d6> damage,2,attack(d); e.setvar(~ashleyuses~|e.getvar(~ashleyuses~) + 1); if ( e.getvar(~ashleycheck~) == true ) { e.setvar(~ashleyuses~|0); e.setvar(~ashleycheck~|false); } if(getstatusself(FURY) == 0) { e.setvar(~ashleycheck~|true); }  /*i don't feel comfortable fucking around with e.timesused for this*/,Fury,MAX5,,RED,change_power,change_function,,_damage,0,NO,NO,,,,,,e.setvar(~ashleyuses~|0);,,,,if(d == 5 && e.getvar(~ashleyuses~) == 0) { inflictself(FURY); sfx(~_fury~|~~|0.2); },,donothing(); /*what happens if you use ashley while you have fury is handled in ashley's script*/,
Ashley Bat_upgraded,Do [sword]<d6> damage[;] then|gain [fury]Fury (just 1) on 5,2,attack(d); if(d == 5 && e.getvar(~ashleyuses~) == 0) { inflictself(FURY); sfx(~_fury~|~~|0.2); } e.setvar(~ashleyuses~|e.getvar(~ashleyuses~) + 1); if(e.preventdefault == true) { e.maintainfury = false; e.preventdefault = false; e.setvar(~ashleyuses~|0); } if(getstatusself(FURY) == 1) { e.maintainfury = true; e.preventdefault = true; },Fury,MAX5,,RED,,,,_damage,0,NO,NO,,,,,,e.setvar(~ashleyuses~|0);,,,,,,donothing();,
Ashley Bat_downgraded,Gain [fury]Fury (just 1) on 3[;]|then do [sword]<d6> damage,2,attack(d); e.setvar(~ashleyuses~|e.getvar(~ashleyuses~) + 1); if ( e.getvar(~ashleycheck~) == true ) { e.setvar(~ashleyuses~|0); e.setvar(~ashleycheck~|false); } if(getstatusself(FURY) == 0) { e.setvar(~ashleycheck~|true); },Fury,MAX3,,RED,,,,_damage,0,NO,NO,,,,,,e.setvar(~ashleyuses~|0);,,,,if(d == 3 && e.getvar(~ashleyuses~) == 0) { inflictself(FURY); sfx(~_fury~|~~|0.2); },,donothing();,
Heat Pump,Remove up to [fire]1 from you|Inflict [fire] equal to excess,1,,Reset Button,,,RED,change_power,noeffect,,none,0,NO,NO,,,,,,e.setvar(~pumpactions~|1 - getstatusself(FIRE)); removestatusself(FIRE|1);,e.animate(~flashandshake~); if(e.getvar(~pumpactions~) > 0) { inflict(FIRE|e.getvar(~pumpactions~)); sfx(~_fire~); } /*e.animate(~flashandshake~); var burnt = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.burn == true){ burnt.push(mydice); } } while(burnt.length > 2) { burnt.shift(); } if(burnt.length = 2) { for (mydice in burnt) { var val = mydice.basevalue; mydice.removedice(self.screenposition()); givedice(val); } } else { inflict(FIRE|2); sfx(~_fire~); }*/,,,,,,
Heat Pump_upgraded,Remove up to [fire]2 from you|Inflict [fire] equal to excess,1,,Reset Button,,,RED,,,,none,0,NO,NO,,,,,,e.setvar(~pumpactions~|2 - getstatusself(FIRE)); removestatusself(FIRE|2);,e.animate(~flashandshake~); if(e.getvar(~pumpactions~) > 0) { inflict(FIRE|e.getvar(~pumpactions~)); sfx(~_fire~); },,,,,,
Berliner,Set a random dice to the|last dice you put in[;] and|recover [heart]4 health,1,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var berlin = e.dicehistory[e.dicehistory.length - 1].basevalue; attackself(-4); var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != berlin){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(berlin| self.screenposition()); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Regenerate,COUNTDOWN,7,PINK,change_power,change_function,,_heal,0,YES,NO,cannotreuse,1,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Berliner_upgraded,Set two random dice to the|last dice you put in[;] and|recover [heart]4 health,1,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(~----~); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); trace(~----~); if((e.dicehistory.length < 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy()); var berlin = e.dicehistory[e.dicehistory.length - 1].basevalue; attackself(-4); var dicelist = []; for (mydice in self.dicepool){ if (mydice.available() && mydice.basevalue != berlin){ dicelist.push(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(berlin| self.screenposition()); } if(dicelist.length > 1) { dicelist[1].animatereroll(berlin| self.screenposition()); } if(self.getvar(~furying~) < 1) { trace(~resetting!~); e.dicehistory = []; self.resetvar(myname); } self.setvar(~furying~|self.getvar(~furying~) - 1);,Regenerate,COUNTDOWN,7,PINK,,,,_heal,0,YES,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,self.setvar(~furying~|getstatusself(FURY)); trace(~fury!: ~ + self.getvar(~furying~));,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Berliner_downgraded,Recover [heart]4 health,1,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); attackself(-4); var dicelist = []; self.resetvar(myname);,Regenerate,COUNTDOWN,7,PINK,,,,none,0,YES,NO,cannotreuse,,,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); self.setvar(~fixedeqlist~|self.equipment.copy());,var myfixedeqlist = self.getvar(~fixedeqlist~); if(myfixedeqlist.length > 0) { var myname = ~dicehistorytemp~ + myfixedeqlist.indexOf(e); self.resetvar(myname); } self.resetvar(~fixedeqlist~); ,if(e.timesused > 0) { var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); e.dicehistory = []; self.resetvar(myname); } e.timesused = 0;,,,,,,,var myname = ~dicehistorytemp~ + self.getvar(~fixedeqlist~).indexOf(e); trace(e.dicehistory.length); trace(e.dicehistory); trace(self.getvar(myname)); trace(self.getvar(myname).length); if((e.dicehistory.length == 1) && self.getvar(myname).length >= e.dicehistory.length && self.getvar(myname).length != null) { trace(~thingdoing!~); e.dicehistory = self.getvar(myname).concat(e.dicehistory); } self.setvar(myname|e.dicehistory.copy());
Ping,Return last dice inserted,1,givedice(e.dicehistory[e.dicehistory.length - 1].basevalue); e.dicehistory = [];,Replicate,COUNTDOWN,8,GREEN,change_power,change_function,,none,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Ping_upgraded,Return last dice inserted,1,givedice(e.dicehistory[e.dicehistory.length - 1].basevalue); e.dicehistory = [];,Replicate,COUNTDOWN,6,GREEN,,,,none,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
Ping_downgraded,Return excess inserted,1,var sum = 0; for (i in 0...e.dicehistory.length) { sum = sum + e.dicehistory[i].basevalue; } if (sum - e.countdown > 0) { givedice(sum - e.countdown); } else { self.textparticle(~No effect!~); } e.dicehistory = []; ,Replicate,COUNTDOWN,8,GREEN,,,,none,0,YES,NO,excludefromrandomlists,,,,,,,,,,,,
